# TEM     PRE          CP           Z
 2261.37  9.47647e+09  3.31589e+08  1.57201
 2261.27  9.47473e+09  3.31586e+08  1.57194
 2261.17  9.47299e+09  3.31584e+08  1.57188
 2261.07  9.47124e+09  3.31581e+08  1.57182
 2260.97  9.4695e+09  3.31579e+08  1.57175
 2260.88  9.46776e+09  3.31576e+08  1.57169
 2260.78  9.46602e+09  3.31574e+08  1.57163
 2260.68  9.46428e+09  3.31572e+08  1.57156
 2260.58  9.46254e+09  3.31569e+08  1.5715
 2260.48  9.46079e+09  3.31567e+08  1.57144
 2260.39  9.45905e+09  3.31564e+08  1.57137
 2260.29  9.45731e+09  3.31562e+08  1.57131
 2260.19  9.45557e+09  3.3156e+08  1.57125
 2260.09  9.45383e+09  3.31557e+08  1.57118
 2259.99  9.45209e+09  3.31555e+08  1.57112
 2259.9  9.45035e+09  3.31552e+08  1.57106
 2259.8  9.44861e+09  3.3155e+08  1.571
 2259.7  9.44687e+09  3.31548e+08  1.57093
 2259.6  9.44513e+09  3.31545e+08  1.57087
 2259.5  9.44339e+09  3.31543e+08  1.57081
 2259.41  9.44165e+09  3.3154e+08  1.57074
 2259.31  9.43991e+09  3.31538e+08  1.57068
 2259.21  9.43817e+09  3.31536e+08  1.57062
 2259.11  9.43643e+09  3.31533e+08  1.57055
 2259.01  9.4347e+09  3.31531e+08  1.57049
 2258.92  9.43296e+09  3.31528e+08  1.57043
 2258.82  9.43122e+09  3.31526e+08  1.57036
 2258.72  9.42948e+09  3.31524e+08  1.5703
 2258.62  9.42774e+09  3.31521e+08  1.57024
 2258.52  9.426e+09  3.31519e+08  1.57018
 2258.42  9.42427e+09  3.31516e+08  1.57011
 2258.33  9.42253e+09  3.31514e+08  1.57005
 2258.23  9.42079e+09  3.31512e+08  1.56999
 2258.13  9.41906e+09  3.31509e+08  1.56992
 2258.03  9.41732e+09  3.31507e+08  1.56986
 2257.93  9.41558e+09  3.31504e+08  1.5698
 2257.84  9.41384e+09  3.31502e+08  1.56973
 2257.74  9.41211e+09  3.315e+08  1.56967
 2257.64  9.41037e+09  3.31497e+08  1.56961
 2257.54  9.40864e+09  3.31495e+08  1.56955
 2257.44  9.4069e+09  3.31492e+08  1.56948
 2257.34  9.40516e+09  3.3149e+08  1.56942
 2257.25  9.40343e+09  3.31488e+08  1.56936
 2257.15  9.40169e+09  3.31485e+08  1.56929
 2257.05  9.39996e+09  3.31483e+08  1.56923
 2256.95  9.39822e+09  3.3148e+08  1.56917
 2256.85  9.39649e+09  3.31478e+08  1.5691
 2256.76  9.39475e+09  3.31476e+08  1.56904
 2256.66  9.39302e+09  3.31473e+08  1.56898
 2256.56  9.39129e+09  3.31471e+08  1.56892
 2256.46  9.38955e+09  3.31469e+08  1.56885
 2256.36  9.38782e+09  3.31466e+08  1.56879
 2256.26  9.38608e+09  3.31464e+08  1.56873
 2256.17  9.38435e+09  3.31461e+08  1.56866
 2256.07  9.38262e+09  3.31459e+08  1.5686
 2255.97  9.38088e+09  3.31457e+08  1.56854
 2255.87  9.37915e+09  3.31454e+08  1.56848
 2255.77  9.37742e+09  3.31452e+08  1.56841
 2255.67  9.37568e+09  3.31449e+08  1.56835
 2255.58  9.37395e+09  3.31447e+08  1.56829
 2255.48  9.37222e+09  3.31445e+08  1.56822
 2255.38  9.37049e+09  3.31442e+08  1.56816
 2255.28  9.36876e+09  3.3144e+08  1.5681
 2255.18  9.36702e+09  3.31437e+08  1.56803
 2255.09  9.36529e+09  3.31435e+08  1.56797
 2254.99  9.36356e+09  3.31432e+08  1.56791
 2254.89  9.36183e+09  3.3143e+08  1.56784
 2254.79  9.3601e+09  3.31427e+08  1.56778
 2254.69  9.35837e+09  3.31425e+08  1.56772
 2254.59  9.35664e+09  3.31423e+08  1.56765
 2254.5  9.35491e+09  3.3142e+08  1.56759
 2254.4  9.35317e+09  3.31418e+08  1.56753
 2254.3  9.35144e+09  3.31415e+08  1.56746
 2254.2  9.34971e+09  3.31413e+08  1.5674
 2254.1  9.34798e+09  3.3141e+08  1.56734
 2254  9.34625e+09  3.31408e+08  1.56727
 2253.91  9.34453e+09  3.31405e+08  1.56721
 2253.81  9.3428e+09  3.31403e+08  1.56715
 2253.71  9.34107e+09  3.31401e+08  1.56708
 2253.61  9.33934e+09  3.31398e+08  1.56702
 2253.51  9.33761e+09  3.31396e+08  1.56696
 2253.41  9.33588e+09  3.31393e+08  1.56689
 2253.31  9.33415e+09  3.31391e+08  1.56683
 2253.22  9.33242e+09  3.31388e+08  1.56677
 2253.12  9.33069e+09  3.31386e+08  1.5667
 2253.02  9.32897e+09  3.31384e+08  1.56664
 2252.92  9.32724e+09  3.31381e+08  1.56658
 2252.82  9.32551e+09  3.31379e+08  1.56651
 2252.72  9.32378e+09  3.31376e+08  1.56645
 2252.63  9.32206e+09  3.31374e+08  1.56639
 2252.53  9.32033e+09  3.31371e+08  1.56633
 2252.43  9.3186e+09  3.31369e+08  1.56626
 2252.33  9.31688e+09  3.31367e+08  1.5662
 2252.23  9.31515e+09  3.31364e+08  1.56614
 2252.13  9.31342e+09  3.31362e+08  1.56607
 2252.04  9.3117e+09  3.31359e+08  1.56601
 2251.94  9.30997e+09  3.31357e+08  1.56595
 2251.84  9.30824e+09  3.31354e+08  1.56588
 2251.74  9.30652e+09  3.31352e+08  1.56582
 2251.64  9.30479e+09  3.3135e+08  1.56576
 2251.54  9.30307e+09  3.31347e+08  1.56569
 2251.44  9.30134e+09  3.31345e+08  1.56563
 2251.35  9.29962e+09  3.31342e+08  1.56557
 2251.25  9.29789e+09  3.3134e+08  1.5655
 2251.15  9.29617e+09  3.31337e+08  1.56544
 2251.05  9.29444e+09  3.31335e+08  1.56538
 2250.95  9.29272e+09  3.31333e+08  1.56532
 2250.85  9.29099e+09  3.3133e+08  1.56525
 2250.75  9.28927e+09  3.31328e+08  1.56519
 2250.66  9.28755e+09  3.31325e+08  1.56513
 2250.56  9.28582e+09  3.31323e+08  1.56506
 2250.46  9.2841e+09  3.3132e+08  1.565
 2250.36  9.28238e+09  3.31318e+08  1.56494
 2250.26  9.28065e+09  3.31316e+08  1.56487
 2250.16  9.27893e+09  3.31313e+08  1.56481
 2250.06  9.27721e+09  3.31311e+08  1.56475
 2249.97  9.27549e+09  3.31308e+08  1.56468
 2249.87  9.27376e+09  3.31306e+08  1.56462
 2249.77  9.27204e+09  3.31303e+08  1.56456
 2249.67  9.27032e+09  3.31301e+08  1.5645
 2249.57  9.2686e+09  3.31299e+08  1.56443
 2249.47  9.26687e+09  3.31296e+08  1.56437
 2249.37  9.26515e+09  3.31294e+08  1.56431
 2249.28  9.26343e+09  3.31291e+08  1.56424
 2249.18  9.26171e+09  3.31289e+08  1.56418
 2249.08  9.25999e+09  3.31286e+08  1.56412
 2248.98  9.25827e+09  3.31284e+08  1.56406
 2248.88  9.25655e+09  3.31282e+08  1.56399
 2248.78  9.25483e+09  3.31279e+08  1.56393
 2248.68  9.25311e+09  3.31277e+08  1.56387
 2248.59  9.25139e+09  3.31274e+08  1.5638
 2248.49  9.24967e+09  3.31272e+08  1.56374
 2248.39  9.24795e+09  3.3127e+08  1.56368
 2248.29  9.24623e+09  3.31267e+08  1.56361
 2248.19  9.24451e+09  3.31265e+08  1.56355
 2248.09  9.24279e+09  3.31262e+08  1.56349
 2247.99  9.24107e+09  3.3126e+08  1.56343
 2247.9  9.23935e+09  3.31257e+08  1.56336
 2247.8  9.23763e+09  3.31255e+08  1.5633
 2247.7  9.23591e+09  3.31253e+08  1.56324
 2247.6  9.2342e+09  3.3125e+08  1.56317
 2247.5  9.23248e+09  3.31248e+08  1.56311
 2247.4  9.23076e+09  3.31245e+08  1.56305
 2247.3  9.22904e+09  3.31243e+08  1.56299
 2247.2  9.22732e+09  3.31241e+08  1.56292
 2247.11  9.22561e+09  3.31238e+08  1.56286
 2247.01  9.22389e+09  3.31236e+08  1.5628
 2246.91  9.22217e+09  3.31233e+08  1.56274
 2246.81  9.22045e+09  3.31231e+08  1.56267
 2246.71  9.21874e+09  3.31229e+08  1.56261
 2246.61  9.21702e+09  3.31226e+08  1.56255
 2246.51  9.2153e+09  3.31224e+08  1.56248
 2246.41  9.21359e+09  3.31221e+08  1.56242
 2246.32  9.21187e+09  3.31219e+08  1.56236
 2246.22  9.21016e+09  3.31216e+08  1.56229
 2246.12  9.20844e+09  3.31214e+08  1.56223
 2246.02  9.20673e+09  3.31211e+08  1.56217
 2245.92  9.20501e+09  3.31209e+08  1.5621
 2245.82  9.20329e+09  3.31206e+08  1.56204
 2245.72  9.20158e+09  3.31204e+08  1.56198
 2245.62  9.19986e+09  3.31201e+08  1.56191
 2245.53  9.19815e+09  3.31199e+08  1.56185
