# Atmospheric vertical profile: 800 17
 IDX       PRE       TEM       TED       DRY         NH3         H2O         H2S      NH3(l)      NH3(s)      H2O(l)      H2O(s)    NH4SH(s)   ENTROPY       CPT     THETA    THETAV
 161   708.485   1156.83   1156.83   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4776    2095.6   2049.37
 162   698.738   1152.31   1152.31   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4614    2095.6   2049.37
 163   689.126   1147.82   1147.82   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4454    2095.6   2049.37
 164   679.645   1143.33   1143.33   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4295    2095.6   2049.37
 165   670.295   1138.86   1138.86   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4137    2095.6   2049.37
 166   661.074   1134.41   1134.41   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    29.398    2095.6   2049.37
 167   651.979   1129.98   1129.98   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3824    2095.6   2049.37
 168    643.01   1125.56   1125.56   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3669    2095.6   2049.37
 169   634.164   1121.15   1121.15   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3516    2095.6   2049.37
 170    625.44   1116.76   1116.76   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3363    2095.6   2049.37
 171   616.835   1112.38   1112.38   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3211    2095.6   2049.37
 172   608.349   1108.02   1108.02   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.3061    2095.6   2049.37
 173    599.98   1103.67   1103.67   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2912    2095.6   2049.37
 174   591.726   1099.34   1099.34   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2764    2095.6   2049.37
 175   583.586   1095.02   1095.02   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2617    2095.6   2049.37
 176   575.557   1090.72   1090.72   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2471    2095.6   2049.37
 177   567.639   1086.43   1086.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2327    2095.6   2049.37
 178    559.83   1082.16   1082.16   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2184    2095.6   2049.37
 179   552.128    1077.9    1077.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.2042    2095.6   2049.37
 180   544.533   1073.66   1073.66   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.1901    2095.6   2049.37
 181   537.042   1069.43   1069.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.1761    2095.6   2049.37
 182   529.653   1065.21   1065.21   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.1623    2095.6   2049.37
